2022-11-14 15:39:35.969 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:40:30.271 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:40:30.323 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:40:31.561 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:40:31.605 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:40:32.603 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:40:32.646 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:42:29.103 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/  |IP:127.0.0.1
2022-11-14 15:42:29.119 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/favicon.ico  |IP:127.0.0.1
2022-11-14 15:42:33.211 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:42:33.263 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:47:26.535 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:47:26.654 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:48:01.417 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:51:17.165 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:51:17.300 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:52:03.295 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:52:03.424 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:52:05.259 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:52:05.393 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:55:35.913 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:55:35.968 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:55:36.873 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:55:36.917 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:55:37.565 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:55:37.610 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:55:37.727 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:55:37.770 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:55:37.928 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:55:37.969 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:58:46.925 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/docs  |IP:127.0.0.1
2022-11-14 15:58:46.973 | INFO     | base.middleware:logger_request:78 - |访问记录:GET  |url:http://127.0.0.1:10054/openapi.json  |IP:127.0.0.1
2022-11-14 15:58:54.827 | INFO     | base.middleware:logger_request:78 - |访问记录:POST  |url:http://127.0.0.1:10054/get_face_library  |IP:127.0.0.1
2022-11-14 15:59:40.157 | INFO     | base.middleware:logger_request:78 - |访问记录:POST  |url:http://127.0.0.1:10054/register_face  |IP:127.0.0.1
2022-11-14 15:59:46.149 | INFO     | base.middleware:logger_request:78 - |访问记录:POST  |url:http://127.0.0.1:10054/get_face_library  |IP:127.0.0.1
